shapeColor,studyLoops.thisRepN,studyLoops.thisTrialN,studyLoops.thisN,studyLoops.thisIndex,testLoops.thisRepN,testLoops.thisTrialN,testLoops.thisN,testLoops.thisIndex,textWelcome.started,textWelcome.stopped,keyEndWelcome.keys,keyEndWelcome.rt,keyEndWelcome.started,keyEndWelcome.stopped,textBlank.started,textBlank.stopped,keyStudyDemo.keys,keyStudyDemo.rt,keyStudyDemo.started,keyStudyDemo.stopped,polygonStudy.started,polygonStudy.stopped,textBeginTest.started,textBeginTest.stopped,spaceBeginTest.keys,spaceBeginTest.rt,spaceBeginTest.started,spaceBeginTest.stopped,polygonTest.started,polygonTest.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10.433235678996425,None,space,1.436513749009464,10.433235678996425,None,,,,,,,,,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
green,0,0,0,1,,,,,,,,,,,13.91439608798828,None,space,1.466213539999444,12.419519132992718,None,12.419519132992718,None,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
yellow,0,1,1,3,,,,,,,,,,,15.830498659983277,None,space,1.398436818009941,14.415340054983972,None,14.415340054983972,None,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
purple,0,2,2,5,,,,,,,,,,,17.731001951004146,None,space,1.3710428070044145,16.330739105003886,None,16.330739105003886,None,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
blue,0,3,3,0,,,,,,,,,,,19.56285792600829,None,space,1.310397635010304,18.23131953700795,None,18.23131953700795,None,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
black,0,4,4,4,,,,,,,,,,,21.36467546300264,None,space,1.2693749839963857,20.06440452800598,None,20.06440452800598,None,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
red,0,5,5,2,,,,,,,,,,,23.09584173199255,None,space,1.1888555960031226,21.88095159799559,None,21.88095159799559,None,,,,,,,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
,,,,,,,,,,,,,,,,,,,,,,,23.596201762004057,None,space,1.561524365999503,23.596201762004057,None,,,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
red,,,,,0,0,0,2,,,,,,,28.680337945988867,None,,,,,,,,,,,,,25.682640702987555,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
blue,,,,,0,1,1,0,,,,,,,32.17860387300607,None,,,,,,,,,,,,,29.195369708992075,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
black,,,,,0,2,2,4,,,,,,,35.67940893198829,None,,,,,,,,,,,,,32.679300913994666,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
green,,,,,0,3,3,1,,,,,,,39.179027965001296,None,,,,,,,,,,,,,36.179109307006,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
purple,,,,,0,4,4,5,,,,,,,42.67894475598587,None,,,,,,,,,,,,,39.6788976030075,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
orange,,,,,0,5,5,6,,,,,,,46.1791239589802,None,,,,,,,,,,,,,43.17862005499774,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
yellow,,,,,0,6,6,3,,,,,,,49.69436489400687,None,,,,,,,,,,,,,46.69374030298786,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
pink,,,,,0,7,7,7,,,,,,,53.193059210985666,None,,,,,,,,,,,,,50.19336812000256,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
yellow,,,,,1,0,8,3,,,,,,,56.693198181979824,None,,,,,,,,,,,,,53.69305755899404,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
black,,,,,1,1,9,4,,,,,,,60.19270645099459,None,,,,,,,,,,,,,57.19332100500469,None,,001,2021_Feb_22_0017,libraryTutorialPsychoPy,2021.1.0,59.90402284996447,
