shapeColor,studyLoops.thisRepN,studyLoops.thisTrialN,studyLoops.thisN,studyLoops.thisIndex,testLoops.thisRepN,testLoops.thisTrialN,testLoops.thisN,testLoops.thisIndex,textWelcome.started,textWelcome.stopped,keyEndWelcome.keys,keyEndWelcome.rt,keyEndWelcome.started,keyEndWelcome.stopped,textBlank.started,textBlank.stopped,keyStudyDemo.keys,keyStudyDemo.rt,keyStudyDemo.started,keyStudyDemo.stopped,polygonStudy.started,polygonStudy.stopped,textBeginTest.started,textBeginTest.stopped,spaceBeginTest.keys,spaceBeginTest.rt,spaceBeginTest.started,spaceBeginTest.stopped,polygonTest.started,polygonTest.stopped,textThanks.started,textThanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,12.28557976000593,None,space,0.9366489539970644,12.28557976000593,None,,,,,,,,,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
purple,0,0,0,5,,,,,,,,,,,15.142188477009768,None,space,1.3608216090069618,13.757505403016694,None,13.757505403016694,None,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
black,0,1,1,4,,,,,,,,,,,15.924475701001938,None,space,0.2609993349760771,15.641169872018509,None,15.641169872018509,None,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
blue,0,2,2,0,,,,,,,,,,,16.707760387012968,None,space,0.25221969399717636,16.425994665012695,None,16.425994665012695,None,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
yellow,0,3,3,3,,,,,,,,,,,17.508185675018467,None,space,0.2701416890195105,17.208089634019416,None,17.208089634019416,None,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
green,0,4,4,1,,,,,,,,,,,18.324905307003064,None,space,0.29406473599374294,18.008099011000013,None,18.008099011000013,None,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
red,0,5,5,2,,,,,,,,,,,19.22449569500168,None,space,0.3715103410067968,18.826660562015604,None,18.826660562015604,None,,,,,,,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
,,,,,,,,,,,,,,,,,,,,,,,19.72613144700881,None,space,0.6960054009978194,19.72613144700881,None,,,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
green,,,,,0,0,0,1,,,,,,,23.944009562022984,None,,,,,,,,,,,,,20.945154392014956,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
yellow,,,,,0,1,1,3,,,,,,,27.44107331702253,None,,,,,,,,,,,,,24.440601091017015,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
orange,,,,,0,2,2,6,,,,,,,30.956893869006308,None,,,,,,,,,,,,,27.942106286005583,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
black,,,,,0,3,3,4,,,,,,,34.441433440020774,None,,,,,,,,,,,,,31.441395172005286,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
red,,,,,0,4,4,2,,,,,,,37.94117647400708,None,,,,,,,,,,,,,34.9419582200062,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
purple,,,,,0,5,5,5,,,,,,,41.455607903015334,None,,,,,,,,,,,,,38.45552547700936,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
pink,,,,,0,6,6,7,,,,,,,44.95549592401949,None,,,,,,,,,,,,,41.95533674300532,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
blue,,,,,0,7,7,0,,,,,,,48.43939120601863,None,,,,,,,,,,,,,45.43829556601122,None,,,,001,2021_Feb_22_0019,libraryTutorialPsychoPy,2021.1.0,60.12273322492239,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.93959382100729,None,,,,,,,
